,Prox.HighVLow.ES,Prox.MedVLow.ES,Prox.MedVHigh.ES,Prox.HighVLow.Sign,Prox.MedVLow.Sign,Prox.MedVHigh.Sign,Prox.HighVLow.Padj,Prox.HighVLow.qval,Prox.MedVLow.Padj,Prox.MedVLow.qval,Prox.MedVHigh.Padj,Prox.MedVHigh.qval
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.410456464,0.633465869,0.569636602,Enriched in High,Enriched in Med,Enriched in Med,0.004214971,0.003671191,5.36E-10,4.46E-10,0.000369676,0.000288889
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.394269767,0.654692509,0.574578271,Enriched in High,Enriched in Med,Enriched in Med,0.004214971,0.003671191,1.67E-09,1.39E-09,0.000538041,0.00042046
BIOCARTA_CSK_PATHWAY,-0.835062549,0.60830538,0.629883447,Enriched in Low,Enriched in Med,Enriched in Med,0.004705434,0.004098379,1.88E-09,1.57E-09,0.00111236,0.000869269
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,0.4442236,0.649321052,0.905308007,Enriched in High,Enriched in Med,Enriched in Med,0.00516888,0.004502035,2.62E-09,2.18E-09,0.001887884,0.001475313
REACTOME_DNA_REPLICATION,0.474762655,0.637720809,0.606046444,Enriched in High,Enriched in Med,Enriched in Med,0.005487786,0.004779798,1.84E-08,1.53E-08,0.002026742,0.001583826
GOBP_CELL_CHEMOTAXIS,0.429629394,0.655714973,0.645650917,Enriched in High,Enriched in Med,Enriched in Med,0.006285126,0.005474272,2.19E-08,1.82E-08,0.002531038,0.001977915
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,0.380229008,0.5972243,0.843305031,Enriched in High,Enriched in Med,Enriched in Med,0.007717608,0.006721947,8.62E-08,7.17E-08,0.002984559,0.002332325
GOBP_T_CELL_ACTIVATION,0.376968967,0.663636158,0.879526352,Enriched in High,Enriched in Med,Enriched in Med,0.009104683,0.007930074,1.33E-07,1.10E-07,0.004424129,0.003457298
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,0.409364572,0.679837273,0.855975906,Enriched in High,Enriched in Med,Enriched in Med,0.010106706,0.008802824,1.79E-07,1.49E-07,0.00511884,0.004000189
WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX,-0.843644694,0.616546866,0.895897565,Enriched in Low,Enriched in Med,Enriched in Med,0.011583794,0.010089351,1.97E-07,1.64E-07,0.0054205,0.004235926
REACTOME_PD_1_SIGNALING,-0.779202749,0.631123332,0.588088916,Enriched in Low,Enriched in Med,Enriched in Med,0.01195712,0.010414514,1.01E-06,8.35E-07,0.006244674,0.004879988
BIOCARTA_MHC_PATHWAY,-0.824916314,0.580802475,0.59113028,Enriched in Low,Enriched in Med,Enriched in Med,0.012790567,0.011140436,1.01E-06,8.35E-07,0.006600101,0.005157741
GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE,-0.698223011,0.662004303,0.601556906,Enriched in Low,Enriched in Med,Enriched in Med,0.018353582,0.015985758,8.92E-06,7.42E-06,0.009613038,0.007512243
BIOCARTA_TH1TH2_PATHWAY,-0.795328234,0.892992593,0.580633937,Enriched in Low,Enriched in Med,Enriched in Med,0.018420152,0.01604374,0.000184491,0.000153366,0.017281016,0.013504491
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.393743354,0.908164114,0.621344955,Enriched in High,Enriched in Med,Enriched in Med,0.019206339,0.016728499,0.001168388,0.000971269,0.018447078,0.014415726
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,0.423393291,0.863445601,0.862239644,Enriched in High,Enriched in Med,Enriched in Med,0.032034527,0.027901703,0.006245105,0.005191492,0.019764643,0.015445357
GOBP_LEUKOCYTE_CHEMOTAXIS,0.425863079,0.814535072,0.557203288,Enriched in High,Enriched in Med,Enriched in Med,0.032182637,0.028030705,0.007513467,0.006245869,0.026593259,0.020781674
GOCC_LUMENAL_SIDE_OF_MEMBRANE,-0.680230814,0.772419003,0.878871747,Enriched in Low,Enriched in Med,Enriched in Med,0.032456578,0.028269305,0.013198277,0.010971594,0.028337092,0.022144416
GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.365129526,0.793317339,0.522914746,Enriched in High,Enriched in Med,Enriched in Med,0.033725643,0.029374645,0.014327181,0.01191004,0.028487172,0.022261699
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.38616228,0.807327545,0.726303719,Enriched in High,Enriched in Med,Enriched in Med,0.0338076,0.029446029,0.022212435,0.018464971,0.031360055,0.024506753
GOMF_PEPTIDE_ANTIGEN_BINDING,-0.712529006,0.777613561,0.552910813,Enriched in Low,Enriched in Med,Enriched in Med,0.038257837,0.033322134,0.024937076,0.020729938,0.032579285,0.025459537
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,-0.673290319,-0.377084285,0.497762797,Enriched in Low,Enriched in Low,Enriched in Med,0.038257837,0.033322134,0.025719999,0.021380774,0.035924347,0.028073583
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,0.397884971,0.84493335,0.868770348,Enriched in High,Enriched in Med,Enriched in Med,0.039960813,0.034805406,0.030795727,0.025600175,0.036609253,0.028608812
REACTOME_CHROMOSOME_MAINTENANCE,0.462261662,0.670056901,0.900991698,Enriched in High,Enriched in Med,Enriched in Med,0.043444336,0.037839515,0.034393029,0.028590576,0.037952941,0.029658856
BIOCARTA_LYM_PATHWAY,0.790061761,0.762715519,0.511549485,Enriched in High,Enriched in Med,Enriched in Med,0.046322179,0.040346083,0.035540358,0.029544339,0.048314355,0.037755927
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,-0.553784678,-0.327614125,0.849012914,Enriched in Low,Enriched in Low,Enriched in Med,0.046411309,0.040423714,0.042821371,0.035596971,0.048975948,0.038272938
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,-0.611600633,0.811537185,0.851872041,Enriched in Low,Enriched in Med,Enriched in Med,0.049555916,0.043162631,0.045779984,0.038056436,0.048975948,0.038272938
